kanji,furigana,meaning,tags,guid,romaji
月,つき,moon,Genki Genki_Ln.20 JLPT JLPT_N4,g.!8Tz-L0l,tsuki
絹,きぬ,silk,JLPT JLPT_N4,tNV0})jEsh,kinu
ちっとも,ちっとも,not at all (neg. verb),JLPT JLPT_N4,p(lsw|$R1V,chittomo
深い,ふかい,"deep, profound",JLPT JLPT_N4,N%G$/Va72i,fukai
壊れる,こわれる,"to be broken, to break",JLPT JLPT_N4,PH#eB=.[|i,kowareru
揺れる,ゆれる,"to shake, to sway",JLPT JLPT_N4,CJT@S-rGcq,yureru
落る,おちる,"to fall, to drop",JLPT JLPT_N4,QEWE{hX5.8,ochiru
できるだけ,できるだけ,"if at all possible, as much as possible",JLPT JLPT_N4,z|27hHgqS.,dekirudake
悲しい,かなしい,"sad, sorrowful",Genki Genki_Ln.13 JLPT JLPT_N4,P[6ROxur[z,kanashii
中学校,ちゅうがっこう,junior high school pupil,JLPT JLPT_N4,o@F6a}&sDT,chuugakkou
ガス,ガス,gas,JLPT JLPT_N4,J0vS6#XFQP,gasu
祈る,いのる,to pray; to wish,JLPT JLPT_N4,gOVf)x5I|I,inoru
盛ん,さかん,"prosperous, active, thriving",JLPT JLPT_N4,iN0&Vv}z1G,sakan
アルバイト,アルバイト,part-time job,Genki Genki_Ln.4 JLPT JLPT_N4,uhbB_H_zmK,arubaito
起こす,おこす,to wake (someone) up,Genki Genki_Ln.16 JLPT JLPT_N4,e)?&!q93%0,okosu
致す,いたす,-- extra-modest expression for する --,Genki Genki_Ln.20 JLPT JLPT_N4,s{uMBFr}QR,itasu
噛む,かむ,"to bite, to chew",JLPT JLPT_N4,E0N_YXN>-x,kamu
赤ちゃん,あかちゃん,"baby, infant",Genki Genki_Ln.21 JLPT JLPT_N4,s09]7w9[]D,akachan
浅い,あさい,"shallow, superficial",JLPT JLPT_N4,Bq97rav-&k,asai
嘘,うそ,lie,JLPT JLPT_N4,dDVZZUX$0%,uso
小説,しょうせつ,novel,Genki Genki_Ln.20 JLPT JLPT_N4,k;Wm8^zP:1,shousetsu
親,おや,a parent,Genki Genki_Ln.16 Intermediate_Japanese_Ln.6 JLPT JLPT_N4,EM~YxWr$Fw,oya
それに,それに,moreover; besides,Intermediate_Japanese_Ln.2 JLPT JLPT_N4,q*Vh;RO@9L,soreni
西洋,せいよう,"the West, Western countries",JLPT JLPT_N4,CYHizo6/]:,seiyou
思う,おもう,"to think, to feel",Genki Genki_Ln.8 JLPT JLPT_N4,bu>M]5SnGX,omou
パート (タイム),パート (タイム),part time (esp. female part time employees),JLPT JLPT_N4,v_m4?zP2.9,paato (taimu)
時代,じだい,"age, period, epoch, era",JLPT JLPT_N4,L?Q&>175XG,jidai
申し上げる,もうしあげる,"(humble)to say, to tell",JLPT JLPT_N4,GF+@f2CV$T,moushiageru
～式,～しき,~ ceremony; ~ style,JLPT JLPT_N4,"r&5Ybsff,l",~shiki
出席,しゅっせきする,attendance,JLPT JLPT_N4,veUCYD:#[?,shussekisuru
～家,～か,person who is specialized in ~,JLPT JLPT_N4,jmL@^X(3xD,~ka
迎える,むかえる,to welcome; to meet; to greet,JLPT JLPT_N4,c)r?fC@d`X,mukaeru
触る,さわる,"to touch, to feel",JLPT JLPT_N4,EE}]!?vk-o,sawaru
建て,～だて,"~ storied, separate housing",JLPT JLPT_N4,O;BgWj4xcP,~date
社長,しゃちょう,president of a company,Genki Genki_Ln.11 JLPT JLPT_N4,esu`;_q%~},shachou
動物園,どうぶつえん,zoo,JLPT JLPT_N4,LA>0An]TpD,doubutsuen
捕まえる,つかまえる,"to catch, to arrest",JLPT JLPT_N4,"dxA,$K8Jjo",tsukamaeru
季節,きせつ,season (in reference to weather),Genki Genki_Ln.10 Intermediate_Japanese_Ln.9 JLPT JLPT_N4,"H-HO2,.Mf&",kisetsu
寄る,よる,to stop by,Genki Genki_Ln.19 Intermediate_Japanese_Ln.3 JLPT JLPT_N4,wowQrA=!@I,yoru
決まる,きまる,to be set; fixed (v.i.),Intermediate_Japanese_Ln.2 JLPT JLPT_N4,ftU/w6Rm9),kimaru
開く,ひらく,to open; to hold (an event),JLPT JLPT_N4,EqW3}ML(%4,hiraku
逃げる,にげる,"to escape, to run away",JLPT JLPT_N4,olt^H[(k%k,nigeru
だから,だから,so; therefore,Genki Genki_Ln.4 JLPT JLPT_N4,"l,%/>C{Y}S",dakara
残念,ざんねん,regret; regrettable,Intermediate_Japanese_Ln.7 JLPT JLPT_N4,u8P;}KnN>M,zannen
畳,たたみ,tatami mat (Japanese straw mat),JLPT JLPT_N4,K6&+!%&]%g,tatami
丁寧,ていねい,"polite, courteous, careful",JLPT JLPT_N4,y#[3yo1.4|,teinei
地理,ちり,geography,JLPT JLPT_N4,L>P&NZL8Ln,chiri
さっき,さっき,a little while ago,Genki Genki_Ln.4 JLPT JLPT_N4,K6.[:IAM|.,sakki
怖い,こわい,"scary, frightening",Genki Genki_Ln.5 JLPT JLPT_N4,oO+f.U&hT(,kowai
包む,つつむ,"to wrap, to cover",Genki Genki_Ln.21 JLPT JLPT_N4,j.kjH)CP:g,tsutsumu
なるべく,なるべく,"if possible, as much as possible",Intermediate_Japanese_Ln.3 JLPT JLPT_N4,N|K[$y_r^[,narubeku
無理,むり,"unreasonable, impossible",JLPT JLPT_N4,i]oOmAHlg9,muri
サンドイッチ,サンドイッチ,sandwich,JLPT JLPT_N4,"Lah$0,$FHs",sandoitchi
会議室,かいぎしつ,conference room,JLPT JLPT_N4,oxHUFdCY;/,kaigishitsu
品物,しなもの,goods,JLPT JLPT_N4,kiGyZq*rIU,shinamono
人形,にんぎょう,"doll, figure",JLPT JLPT_N4,vPlJ&v75[Q,ningyou
利用,りよう,"use, utilization",JLPT JLPT_N4,Rh@8N~e0eQ,riyou
飾る,かざる,"to decorate, to adorn",JLPT JLPT_N4,"OaqvYHn98,",kazaru
止める,とめる,to stop (something),JLPT JLPT_N4,uL2<QDM;W:,tomeru
恥ずかしい,はずかしい,"ashamed, embarrassed",Genki Genki_Ln.18 JLPT JLPT_N4,e$Mth*I+Cg,hazukashii
いくら～ても,いくら～ても,however much one may ~,JLPT JLPT_N4,I]og(vfh}t,ikura~temo
用事,ようじ,business to take care of; tasks; errands,Genki Genki_Ln.12 JLPT JLPT_N4,p$RznpfpCY,youji
ビル,ビル,(abbr.) building,JLPT JLPT_N4,H[!Yph0[mz,biru
けんかする,けんかする,quarrel,JLPT JLPT_N4,Oc14`ELpiF,kenkasuru
頑張る,がんばる,"to try one's best, to try hard, to persist",Genki Genki_Ln.13 JLPT JLPT_N4,Mz@9d9PizL,ganbaru
投げる,なげる,"to pitch, to cast away",Intermediate_Japanese_Ln.7 JLPT JLPT_N4,"A%8%S+mN,O",nageru
故障,こしょうする,breakdown,JLPT JLPT_N4,mP~NCidGL7,koshousuru
