kanji,furigana,meaning,tags,guid,romaji
格好,かっこう,"appearance, manner, shape, form, posture",JLPT JLPT_N4,j4zgBW-)uI,kakkou
かまう,かまう,"to mind, to care about, to be concerned about",JLPT JLPT_N4,l%US3Ov|)s,kamau
続ける,つづける,"to continue, to keep up",Genki Genki_Ln.21 JLPT JLPT_N4,Dmf=K4sY#J,tsuzukeru
落す,おとす,"to drop, to lose",JLPT JLPT_N4,p0#ZhzpH-},otosu
明日,あす,tomorrow,JLPT JLPT_N4,ITR}TzQQ.H,asu
出発,しゅっぱつする,departure,JLPT JLPT_N4,hH4(GI}wN&,shuppatsusuru
拝見,はいけんする,"(humble) (polite) seeing, look at",JLPT JLPT_N4,udBE2Kt)`=,haikensuru
割れる,われる,to break,JLPT JLPT_N4,G?t1hbgS`?,wareru
背中,せなか,back (of body),JLPT JLPT_N4,hg%3^*8ICS,senaka
新聞社,しんぶんしゃ,newspaper company,JLPT JLPT_N4,m^QI_$65r>,shinbunsha
いじめる,いじめる,"to bully, to torment",Genki Genki_Ln.21 JLPT JLPT_N4,gd&LFipme&,ijimeru
回る、回す,まわる、まわす,"to go around, to revolve",JLPT JLPT_N4,OXe]%sDun3,"mawaru,mawasu"
～君,～くん,"Mr. (junior) ~, master ~",JLPT JLPT_N4,yqGP#fHaRj,~kun
おっしゃる,おっしゃる,-- honorific expression for いう --,Genki Genki_Ln.19 JLPT JLPT_N4,Bv6:t/{x_6,ossharu
眠い,ねむい,"sleepy, drowsy",Genki Genki_Ln.10 JLPT JLPT_N4,g1)0|I<ucL,nemui
濡れる,ぬれる,to get wet,JLPT JLPT_N4,"n,@-PdsLi~",nureru
倒れる,たおれる,"to collapse, to break down",JLPT JLPT_N4,k|Od:&*w$$,taoreru
スーパー (マーケット),スーパー (マーケット),supermarket,JLPT JLPT_N4,DH3_3RD/FB,suupaa (maaketto)
アクセサリー,アクセサリー,accessory,JLPT JLPT_N4,qvO-&Z#/h,akusesarii
考える,かんがえる,to think (about); to consider,Genki Genki_Ln.18 JLPT JLPT_N4,"M,WdgwY$__",kangaeru
向かう,むかう,"to face, to go towards",JLPT JLPT_N4,sLFa<Dk5BC,mukau
自由,じゆう,freedom,Genki Genki_Ln.22 JLPT JLPT_N4,lFnDZou.7G,jiyuu
仕方,しかた,way (of doing something),JLPT JLPT_N4,AM]yYl5eIO,shikata
首,くび,neck,JLPT JLPT_N4,JPecz-JR}],kubi
程,ほど,"degree, extent",JLPT JLPT_N4,p%bF6rAi^7,hodo
代わり,かわり,"substitute, replacement",JLPT JLPT_N4,rZ#&qP#LLe,kawari
失敗,しっぱい,"failure, mistake",JLPT JLPT_N4,KT@^}h^l+<,shippai
工業,こうぎょう,(manufacturing) industry,JLPT JLPT_N4,kLOeCV|5Ly,kougyou
移る,うつる,to move (from a house); to transfer (from a department); to shift,JLPT JLPT_N4,EwBssfbpE#,utsuru
スーツケース,スーツケース,suitcase,JLPT JLPT_N4,z<X.?7YIM*,suutsukeesu
ひげ,ひげ,beard,Genki Genki_Ln.17 JLPT JLPT_N4,OC&/lk8Sbt,hige
研究室,けんきゅうしつ,the professor's office; laboratory,Intermediate_Japanese_Ln.3 JLPT JLPT_N4,C=g-AqnF6#,kenkyuushitsu
工場,こうじょう,factory,Genki Genki_Ln.21 Intermediate_Japanese_Ln.15 JLPT JLPT_N4,zB*.:-`=4j,koujou
紹介,しょうかい,an introduction,JLPT JLPT_N4,dT=BbRaUvW,shoukai
けれど; けれども,けれど; けれども,"but, although",JLPT JLPT_N4,mDzGR2QZWc,keredo; keredomo
舟,ふね,"ship, boat",JLPT JLPT_N4,"B,m2(2B05a",fune
動く,うごく,to move,JLPT JLPT_N4,F~}14d`>!6,ugoku
～(に) ついて,～(に) ついて,"about, concerning",JLPT JLPT_N4,"s~K|,g+o=(",~(ni) tsuite
コンサート,コンサート,concert,Genki Genki_Ln.9 JLPT JLPT_N4,c-Fil]C?m3,konsaato
虫,むし,insect,JLPT JLPT_N4,gn!@amuoHx,mushi
優しい,やさしい,"kind (person), gentle (person), easy (problem)",Genki Genki_Ln.5 JLPT JLPT_N4,gfbdYDbw~Y,yasashii
コンピュータ; コンピューター,コンピュータ; コンピューター,computer,JLPT JLPT_N4,i=KlAInS10,konpyuuta; konpyuutaa
植える,うえる,to plant,JLPT JLPT_N4,M>_C}7!LEs,ueru
両方,りょうほう,"both sides, both parties",JLPT JLPT_N4,w+8nx7:F3*,ryouhou
汚れる,よごれる,to become dirty,JLPT JLPT_N4,yxTJ>uc(`r,yogoreru
水泳,すいえい,swimming,JLPT JLPT_N4,p8o.J&l.y:,suiei
経験,けいけんする,experience,JLPT JLPT_N4,f+zL`Y7buD,keikensuru
勝つ,かつ,to win,JLPT JLPT_N4,vi?&`a{.eH,katsu
砂,すな,sand,JLPT JLPT_N4,"v^,Hr#Vg!e",suna
警察,けいさつ,police; police station,Genki Genki_Ln.21 JLPT JLPT_N4,Cqbq5lE;g6,keisatsu
取り替える,とりかえる,"to exchange, to replace",JLPT JLPT_N4,fAPL%{p!|p,torikaeru
急ぐ,いそぐ,"to hurry, to be in a hurry, to rush",Genki Genki_Ln.6 Intermediate_Japanese_Ln.2 JLPT JLPT_N4,C+o)~b82kd,isogu
簡単,かんたん,simple,JLPT JLPT_N4,oG^L}3iGdF,kantan
参る,まいる,humble expression for 行く and 来る,Genki Genki_Ln.20 Intermediate_Japanese_Ln.6 JLPT JLPT_N4,dY_fG(MyTI,mairu
全然,ぜんぜん,"not at all; wholly, entirely",JLPT JLPT_N4,iJGs=<smMr,zenzen
特別,とくべつ,special,JLPT JLPT_N4,w*:rZ|MXHf,tokubetsu
復習,ふくしゅう,"review (of lessons), revision",JLPT JLPT_N4,O40vK?08(g,fukushuu
間に合う,まにあう,to be in time for,JLPT JLPT_N4,l3xWb^IMb,maniau
役に立つ,やくにたつ,"to be helpful, to be useful",Intermediate_Japanese_Ln.4 JLPT JLPT_N4,Bodoj{2=?#,yakunitatsu
もうすぐ,もうすぐ,very soon; in a few moments; days,Genki Genki_Ln.12 JLPT JLPT_N4,cr{2h{c->,mousugu
真中,まんなか,"middle, center",JLPT JLPT_N4,R5Bu:`G<@,mannaka
戻る,もどる,to return (v.i.); to come back,Genki Genki_Ln.20 Intermediate_Japanese_Ln.8 JLPT JLPT_N4,g9-rOAl2<k,modoru
研究,けんきゅう,"study, research, investigation",JLPT JLPT_N4,"r,JjBHrK!8",kenkyuu
ケーキ,ケーキ,cake,Genki Genki_Ln.13 JLPT JLPT_N4,iADgmRoi>q,keeki
草,くさ,grass,JLPT JLPT_N4,CRSs:E15FF,kusa
込む,こむ,to be crowded,JLPT JLPT_N4,C3zU]</XPv,komu
この頃,このごろ,"these days, nowadays",Genki Genki_Ln.10 JLPT JLPT_N4,F2eeT8$KYX,konogoro
訪ねる,たずねる,to visit,JLPT JLPT_N4,l{^{>8a$f>,tazuneru
下げる,さげる,to lower (v.t.); to hang,Intermediate_Japanese_Ln.2 JLPT JLPT_N4,mC:cy`3AnB,sageru
花見,はなみ,cherry-blossom viewing,JLPT JLPT_N4,ulvW_e[_zQ,hanami
途中,とちゅう,"on the way, midway",JLPT JLPT_N4,"qP[3T,bvTy",tochuu
入院,にゅういんする,hospitalization,JLPT JLPT_N4,iB?^g:!ksb,nyuuinsuru
乗り換える,のりかえる,"to transfer (trains), to change (bus, train, etc.)",JLPT JLPT_N4,Fu#~2.ajY<,norikaeru
別れる,わかれる,"to part from, to separate",JLPT JLPT_N4,ova[fXA&]m,wakareru
～町,～ちょう,the town of ~,JLPT JLPT_N4,"mf84}],`T,",~chou
安全,あんぜん,"safety, security",JLPT JLPT_N4,x>KuTt~>`B,anzen
看護婦,かんごふ,(female) nurse,JLPT JLPT_N4,Mvt??7-[{v,kangofu
見物,けんぶつ,sightseeing,JLPT JLPT_N4,z/6V9+.-]v,kenbutsu
相談,そうだんする,consultation,JLPT JLPT_N4,"h,~$1#Tmi]",soudansuru
ガソリンスタンド,ガソリンスタンド,"gas station, service station",JLPT JLPT_N4,NoACr|m()D,gasorinsutando
テニス,テニス,tennis,Genki Genki_Ln.3 JLPT JLPT_N4,Bm|4X!fT~f,tenisu
眠る,ねむる,to sleep,JLPT JLPT_N4,H2kKiMD`}M,nemuru
上がる,あがる,"to rise, to go up",JLPT JLPT_N4,cvVez@U$xD,agaru
翻訳,ほんやく,translation,Intermediate_Japanese_Ln.8 JLPT JLPT_N4,q5u{4?O6M1,honyaku
食事,しょくじする,meal,JLPT JLPT_N4,K<!4=Wx(&),shokujisuru
お陰,おかげ,thanks or owing to,JLPT JLPT_N4,y:GH2MLVp!,okage
娘,むすめ,daughter (humble),JLPT JLPT_N4,D>Uc.0t(Pv,musume
湯,ゆ,hot water,JLPT JLPT_N4,qZk(zY%Dgg,yu
競争,きょうそう,"competition, contest",JLPT JLPT_N4,G%KC6%zs?X,kyousou
会議,かいぎ,business meeting; conference,Genki Genki_Ln.21 JLPT JLPT_N4,O^:<Y%-[JT,kaigi
湖,みずうみ,lake,Genki Genki_Ln.11 Intermediate_Japanese_Ln.4 JLPT JLPT_N4,pP3.DL~IX-,mizuumi
集まる,あつまる,"to gather (v.i.), to collect",Intermediate_Japanese_Ln.7 JLPT JLPT_N4,dj|VykRm7g,atsumaru
～にくい,～にくい,difficult to do ~,JLPT JLPT_N4,m7`CbDBUYU,~nikui
生活,せいかつする,"living, life; to live",JLPT JLPT_N4,w`Fz_<nW/g,seikatsusuru
糸,いと,thread,JLPT JLPT_N4,IpR-(E.>}{,ito
関係,かんけい,"relation(ship), connection",JLPT JLPT_N4,A95yiv24#q,kankei
ピアノ,ピアノ,piano,Genki Genki_Ln.9 JLPT JLPT_N4,l~WqV~#3P+,piano
～目,～め,"number ~ sequence, ~nd; ~th",JLPT JLPT_N4,E~pd/+U#PU,~me
番組,ばんぐみ,broadcast program,Genki Genki_Ln.15 JLPT JLPT_N4,A~P5;`m>{J,bangumi
急,きゅう,"urgent, sudden; steep",JLPT JLPT_N4,tI;p#VWdsZ,kyuu
棚,たな,"shelves, rack",JLPT JLPT_N4,u[EB{0+w?@,tana
木綿,もめん,cotton,JLPT JLPT_N4,C1;C=MJBjh,momen
輸出,ゆしゅつする,export,JLPT JLPT_N4,tgSB[Csamk,yushutsusuru
タイプ,タイプ,"type, style",JLPT JLPT_N4,GKLj7~1p[w,taipu
すり,すり,pickpocket,JLPT JLPT_N4,"LZR2]zL[V,",suri
嬉しい,うれしい,to be happy; to be glad,Genki Genki_Ln.13 JLPT JLPT_N4,"d;<k5,X?rJ",ureshii
アルコール,アルコール,alcohol,JLPT JLPT_N4,g3}Or~C[qU,arukooru
ソフト,ソフト,soft; soft hat; software,JLPT JLPT_N4,D1{]Y{P=2b,sofuto
神社,じんじゃ,Shinto shrine,JLPT JLPT_N4,"p-k,[(f(jy",jinja
大分,だいぶ,"fairly well, to a large extent, considerably, pretty much",Intermediate_Japanese_Ln.4 JLPT JLPT_N4,F=YkB>ku|#,daibu
楽しみ,たのしみ,"pleasure, joy",JLPT JLPT_N4,bsnv=TM#%{,tanoshimi
趣味,しゅみ,hobby; pastime,Genki Genki_Ln.20 JLPT JLPT_N4,NkyAEs05(h,shumi
電報,でんぽう,telegram,JLPT JLPT_N4,d~+A[2;3vQ,denpou
家内,かない,(one's own) wife,Intermediate_Japanese_Ln.7 JLPT JLPT_N4,JMHIMXzaOu,kanai
指,ゆび,finger,JLPT JLPT_N4,mOnb%$R^21,yubi
これから,これから,"from now on, after this",JLPT JLPT_N4,xyC3_bE-{d,korekara
たまに,たまに,occasionally,JLPT JLPT_N4,Op~e1|~DMP,tamani
社会,しゃかい,society,JLPT JLPT_N4,br3q(Z|Zbk,shakai
